,movie,imdb,votes,mpaa,genre,director,writer,actor,country,budget,box_office_wknd1,box_office_dom,box_office_gross,prod_company,runtime
428,47 Meters Down: Uncaged,5.0,19147.0,PG-13,Adventure,Johannes Roberts,Ernest Riera,Sophie Nélisse,UK,12000000.0,8427265.0,22260900.0,47582563.0,Entertainment Studios Motion Pictures,90.0
429,Destroyer,6.2,23939.0,R,Action,Karyn Kusama,Phil Hay,Nicole Kidman,USA,9000000.0,55347.0,1533324.0,5580940.0,Annapurna Pictures,121.0
430,Nerve,6.5,113304.0,PG-13,Adventure,"Henry Joost, Ariel Schulman",Jessica Sharzer,Emma Roberts,USA,19000000.0,9445456.0,38583626.0,85251425.0,Allison Shearmur Productions,96.0
431,The Sisters Brothers,7.0,50396.0,R,Crime,Jacques Audiard,Jacques Audiard,John C. Reilly,France,38000000.0,115575.0,3143056.0,13143056.0,Why Not Productions,122.0
432,The Snowman,5.1,57044.0,R,Crime,Tomas Alfredson,Peter Straughan,Michael Fassbender,UK,35000000.0,3372565.0,6700035.0,43155261.0,Universal Pictures,119.0
433,Chappie,6.8,226702.0,R,Action,Neill Blomkamp,Neill Blomkamp,Sharlto Copley,South Africa,49000000.0,13346782.0,31569268.0,102811889.0,Columbia Pictures,120.0
434,"Hail, Caesar!",6.3,122015.0,PG-13,Comedy,"Ethan Coen, Joel Coen",Joel Coen,Josh Brolin,USA,22000000.0,11355225.0,30498085.0,63647656.0,Universal Pictures,106.0
435,Flatliners,5.2,40901.0,PG-13,Drama,Niels Arden Oplev,Peter Filardi,Ellen Page,USA,19000000.0,6574326.0,16883115.0,45158254.0,Columbia Pictures,109.0
436,Goosebumps,6.3,78835.0,PG,Adventure,Rob Letterman,Darren Lemke,Jack Black,USA,58000000.0,23618556.0,80080379.0,158260952.0,Columbia Pictures,103.0
437,Like a Boss,4.5,7752.0,R,Comedy,Miguel Arteta,Sam Pitman,Tiffany Haddish,USA,29000000.0,10011272.0,22169514.0,29753143.0,Artists First,83.0
438,The 5th Wave,5.2,97887.0,PG-13,Action,J Blakeson,Susannah Grant,Chloë Grace Moretz,USA,38000000.0,10326356.0,34916787.0,109906372.0,Columbia Pictures,112.0
439,The Bad Batch,5.3,25639.0,R,Drama,Ana Lily Amirpour,Ana Lily Amirpour,Suki Waterhouse,USA,6000000.0,89111.0,180851.0,201890.0,Human Stew Factory,118.0
440,Isn't It Romantic,5.9,60630.0,PG-13,Comedy,Todd Strauss-Schulson,Erin Cardillo,Rebel Wilson,USA,31000000.0,14247758.0,48791187.0,48791187.0,BRON Studios,89.0
441,Life Itself,6.8,16190.0,R,Drama,Dan Fogelman,Dan Fogelman,Oscar Isaac,USA,10000000.0,2123463.0,4102648.0,7997774.0,FilmNation Entertainment,117.0
442,The Big Sick,7.5,118137.0,R,Comedy,Michael Showalter,Emily V. Gordon,Kumail Nanjiani,USA,5000000.0,421577.0,42873127.0,56411585.0,Apatow Productions,120.0
443,Overboard,6.0,33390.0,PG-13,Comedy,Rob Greenberg,Bob Fisher,Eugenio Derbez,USA,12000000.0,14711101.0,50316123.0,91244913.0,Pantelion Films,112.0
444,How to Be Single,6.1,79838.0,R,Comedy,Christian Ditter,Abby Kohn,Dakota Johnson,USA,38000000.0,17878911.0,46843513.0,112343513.0,New Line Cinema,110.0
445,Burnt,6.6,104415.0,R,Comedy,John Wells,Steven Knight,Bradley Cooper,USA,20000000.0,5002521.0,13651946.0,36606743.0,3 Arts Entertainment,101.0
446,Eighth Grade,7.4,59724.0,R,Comedy,Bo Burnham,Bo Burnham,Elsie Fisher,USA,2000000.0,263797.0,13539709.0,14347433.0,A24,93.0
447,Fences,7.2,95760.0,PG-13,Drama,Denzel Washington,August Wilson,Denzel Washington,USA,24000000.0,129462.0,57682904.0,64414761.0,BRON Studios,139.0
448,London Fields,4.3,5239.0,R,Crime,Mathew Cullen,Roberta Hanley,Amber Heard,UK,8000000.0,168575.0,252676.0,487420.0,Muse Productions,118.0
449,Eddie the Eagle,7.4,83223.0,PG-13,Biography,Dexter Fletcher,Sean Macaulay,Taron Egerton,UK,23000000.0,6084682.0,15789389.0,46152800.0,Hurwitz Creative,106.0
450,Unfriended: Dark Web,5.9,24644.0,R,Horror,Stephen Susco,Stephen Susco,Colin Woodell,USA,1000000.0,3653035.0,8866745.0,16024987.0,Bazelevs Production,92.0
451,The Grinch,6.3,45468.0,PG,Animation,"Yarrow Cheney, Scott Mosier",Michael LeSieur,Benedict Cumberbatch,France,75000000.0,67572855.0,270620950.0,511595957.0,Universal Pictures,85.0
452,Magic Mike XXL,5.6,51332.0,R,Comedy,Gregory Jacobs,Reid Carolin,Channing Tatum,USA,14800000.0,12857184.0,66013057.0,117813057.0,Warner Bros.,115.0
453,Hardcore Henry,6.7,85119.0,R,Action,Ilya Naishuller,Ilya Naishuller,Sharlto Copley,Russia,2000000.0,5107604.0,9252038.0,16810562.0,Bazelevs Production,96.0
454,Chips,6.0,41769.0,R,Action,Dax Shepard,Rick Rosner,Michael Peña,USA,25000000.0,7722802.0,18600152.0,26800152.0,Primate Pictures,100.0
455,Live by Night,6.4,51191.0,R,Action,Ben Affleck,Ben Affleck,Ben Affleck,USA,108000000.0,33336.0,10378555.0,22678555.0,Appian Way,129.0
456,Aloha,5.4,61265.0,PG-13,Comedy,Cameron Crowe,Cameron Crowe,Bradley Cooper,USA,37000000.0,9670235.0,21067116.0,26250020.0,Columbia Pictures,105.0
457,The Boss Baby,6.3,105733.0,PG,Animation,Tom McGrath,Michael McCullers,Alec Baldwin,USA,125000000.0,50198902.0,175003033.0,527965936.0,DreamWorks Animation,97.0
458,The Angry Birds Movie 2,6.4,19860.0,PG,Animation,"Thurop Van Orman, John Rice (co-director)",Peter Ackerman,Jason Sudeikis,Finland,65000000.0,10354073.0,41667116.0,147792047.0,Sony Pictures Animation,97.0
459,Downsizing,5.7,96295.0,R,Drama,Alexander Payne,Alexander Payne,Matt Damon,USA,68000000.0,4954287.0,24449754.0,55003890.0,Paramount Pictures,135.0
460,Child 44,6.5,64671.0,R,Crime,Daniel Espinosa,Richard Price,Tom Hardy,Czech Republic,50000000.0,621812.0,1224330.0,12951093.0,Summit Entertainment,137.0
461,Minions,6.4,208519.0,PG,Animation,"Kyle Balda, Pierre Coffin",Brian Lynch,Sandra Bullock,USA,74000000.0,115718405.0,336045770.0,1159444662.0,Illumination Entertainment,91.0
462,Secret in Their Eyes,6.3,42306.0,PG-13,Crime,Billy Ray,Billy Ray,Chiwetel Ejiofor,USA,19500000.0,6652996.0,20180155.0,34854990.0,IM Global,111.0
463,The Beguiled,6.3,50542.0,R,Drama,Sofia Coppola,Sofia Coppola,Nicole Kidman,USA,10500000.0,229292.0,10709995.0,27869129.0,American Zoetrope,93.0
464,"Where'd You Go, Bernadette",6.5,15385.0,PG-13,Comedy,Richard Linklater,Richard Linklater,Cate Blanchett,USA,20000000.0,3462308.0,9198356.0,10830913.0,Annapurna Pictures,109.0
465,The Promise,6.4,167578.0,PG-13,Action,Terry George,Terry George,Oscar Isaac,Spain,90000000.0,4095718.0,8224288.0,12448676.0,Babieka,133.0
466,Slender Man,3.2,27384.0,PG-13,Horror,Sylvain White,David Birke,Joey King,USA,10000000.0,11371866.0,30569484.0,51738549.0,Screen Gems,93.0
467,Daddy's Home 2,6.0,59754.0,PG-13,Comedy,Sean Anders,Sean Anders,Will Ferrell,USA,69000000.0,29651193.0,104029443.0,180613180.0,Paramount Pictures,100.0
468,Scouts Guide to the Zombie Apocalypse,6.3,44318.0,R,Action,Christopher Landon,Carrie Lee Wilson,Tye Sheridan,USA,15000000.0,1841007.0,3703046.0,16137046.0,Paramount Pictures,93.0
469,Blinded by the Light,6.9,18358.0,PG-13,Comedy,Gurinder Chadha,Sarfraz Manzoor,Billy Barratt,UK,15000000.0,4333305.0,11901145.0,18096691.0,New Line Cinema,118.0
470,The Best of Enemies,7.2,8535.0,PG-13,Biography,Robin Bissell,Robin Bissell,Taraji P. Henson,USA,10000000.0,4446190.0,10205616.0,10209813.0,Astute Films,133.0
471,Dirty Grandpa,5.9,111264.0,R,Comedy,Dan Mazer,John Phillips,Robert De Niro,USA,25000000.0,11111875.0,35593113.0,94073028.0,Lionsgate,102.0
472,The Last Witch Hunter,6.0,93383.0,PG-13,Action,Breck Eisner,Cory Goodman,Vin Diesel,USA,90000000.0,10812861.0,27367660.0,146936910.0,Summit Entertainment,106.0
473,Neighbors 2: Sorority Rising,5.7,111681.0,R,Comedy,Nicholas Stoller,Andrew Jay Cohen,Seth Rogen,USA,35000000.0,21760405.0,55455765.0,108007109.0,Universal Pictures,92.0
474,The Emoji Movie,3.3,54506.0,PG,Animation,Tony Leondis,Tony Leondis,T.J. Miller,USA,50000000.0,24531923.0,86089513.0,217776646.0,Columbia Pictures,86.0
475,The Infiltrator,7.0,66800.0,R,Biography,Brad Furman,Ellen Furman,Bryan Cranston,UK,28000000.0,5303775.0,15436808.0,21011110.0,George Films,127.0
476,Joy,6.6,125989.0,PG-13,Biography,David O. Russell,David O. Russell,Jennifer Lawrence,USA,60000000.0,17015168.0,56451232.0,101134059.0,Fox 2000 Pictures,124.0
477,The House with a Clock in Its Walls,6.0,43511.0,PG,Comedy,Eli Roth,John Bellairs,Jack Black,USA,42000000.0,26608020.0,68549695.0,131457147.0,DreamWorks,105.0
478,Trainwreck,6.2,128028.0,R,Comedy,Judd Apatow,Amy Schumer,Amy Schumer,USA,35000000.0,30097040.0,110212700.0,140795793.0,Universal Pictures,125.0
479,Pixels,5.5,129453.0,PG-13,Action,Chris Columbus,Tim Herlihy,Adam Sandler,USA,88000000.0,24011616.0,78747585.0,244874809.0,Columbia Pictures,105.0
480,Collateral Beauty,6.8,89423.0,PG-13,Drama,David Frankel,Allan Loeb,Will Smith,USA,36000000.0,7102085.0,31016021.0,88528280.0,New Line Cinema,97.0
481,The First Purge,5.2,52936.0,R,Action,Gerard McMurray,James DeMonaco,"""Y'lan Noel""",USA,13000000.0,17374280.0,69488745.0,137056262.0,Blumhouse Productions,97.0
482,The Possession of Hannah Grace,5.2,17475.0,R,Horror,Diederik Van Rooijen,Brian Sieve,Shay Mitchell,USA,7700000.0,6401744.0,14837422.0,43016528.0,Screen Gems,86.0
483,Daddy's Home,6.2,106081.0,PG-13,Comedy,Sean Anders,Brian Burns,Will Ferrell,USA,50000000.0,38740203.0,150357137.0,242786137.0,Paramount Pictures,96.0
484,Holmes & Watson,3.8,28986.0,PG-13,Comedy,Etan Cohen,Etan Cohen,Will Ferrell,USA,42000000.0,7411522.0,30573626.0,40466970.0,Columbia Pictures,90.0
485,Late Night,6.5,26669.0,R,Comedy,Nisha Ganatra,Mindy Kaling,Emma Thompson,USA,4000000.0,246305.0,15499454.0,22386555.0,3 Arts Entertainment,102.0
486,Despicable Me 3,6.3,109638.0,PG,Animation,,Cinco Paul,Steve Carell,USA,80000000.0,72434025.0,264624300.0,1034800131.0,Illumination Entertainment,89.0
487,Operation Finale,6.6,30209.0,PG-13,Biography,Chris Weitz,Matthew Orton,Oscar Isaac,USA,24000000.0,6022758.0,17612099.0,17612099.0,Metro-Goldwyn-Mayer (MGM),122.0
488,Mike and Dave Need Wedding Dates,6.0,81023.0,R,Comedy,Jake Szymanski,Andrew Jay Cohen,Zac Efron,USA,33000000.0,16628170.0,46009673.0,77068246.0,Twentieth Century Fox,98.0
489,Colossal,6.2,57683.0,R,Comedy,Nacho Vigalondo,Nacho Vigalondo,Anne Hathaway,Canada,15000000.0,120226.0,3029287.0,4531320.0,Toy Fight Productions,109.0
490,The Nutcracker and the Four Realms,5.5,27064.0,PG,Adventure,"Lasse Hallström, Joe Johnston",Ashleigh Powell,Mackenzie Foy,USA,120000000.0,20352491.0,54858851.0,173961069.0,Walt Disney Pictures,99.0
491,Ouija: Origin of Evil,6.1,52609.0,PG-13,Drama,Mike Flanagan,Mike Flanagan,Elizabeth Reaser,USA,9000000.0,14065500.0,35144505.0,81705746.0,Allspark Pictures,99.0
492,Don't Let Go,6.2,5021.0,R,Drama,Jacob Estes,Jacob Estes,David Oyelowo,USA,5000000.0,2338669.0,5215062.0,5288011.0,Blumhouse Productions,103.0
493,The Strangers: Prey at Night,5.2,26159.0,R,Horror,Johannes Roberts,Bryan Bertino,Christina Hendricks,USA,5000000.0,10402271.0,24586708.0,31039126.0,Aviron Pictures,85.0
